queryID,songID,repertoire,role,split,lengthSec,startSample,rep,noiseType,noiseFile,noiseStartSample,targetSnrDb,seed
55,1,american,db,test,3,199738,3,cafe,PCAFETER_ch01_8k.wav,772996,-5,605264938
56,1,american,db,test,3,199738,3,cafe,PCAFETER_ch01_8k.wav,772996,-10,3445409796
57,1,american,db,test,3,199738,3,cafe,PCAFETER_ch01_8k.wav,772996,-15,320192577
58,1,american,db,test,3,199738,3,cafe,PCAFETER_ch01_8k.wav,772996,-20,4238647116
59,1,american,db,test,3,199738,3,cafe,PCAFETER_ch01_8k.wav,772996,-25,3316766028
60,1,american,db,test,3,199738,3,traffic,STRAFFIC_ch01_8k.wav,923511,10,853477353
61,1,american,db,test,3,199738,3,traffic,STRAFFIC_ch01_8k.wav,923511,5,23717313
62,1,american,db,test,3,199738,3,traffic,STRAFFIC_ch01_8k.wav,923511,0,3502380165
63,1,american,db,test,3,199738,3,traffic,STRAFFIC_ch01_8k.wav,923511,-5,3035929174
64,1,american,db,test,3,199738,3,traffic,STRAFFIC_ch01_8k.wav,923511,-10,3131061944
65,1,american,db,test,3,199738,3,traffic,STRAFFIC_ch01_8k.wav,923511,-15,3312580914
66,1,american,db,test,3,199738,3,traffic,STRAFFIC_ch01_8k.wav,923511,-20,318019358
67,1,american,db,test,3,199738,3,traffic,STRAFFIC_ch01_8k.wav,923511,-25,1539598581
68,1,american,db,test,3,199738,3,crowd,SPSQUARE_ch01_8k.wav,644735,10,497653822
69,1,american,db,test,3,199738,3,crowd,SPSQUARE_ch01_8k.wav,644735,5,3707000986
70,1,american,db,test,3,199738,3,crowd,SPSQUARE_ch01_8k.wav,644735,0,2677045070
71,1,american,db,test,3,199738,3,crowd,SPSQUARE_ch01_8k.wav,644735,-5,1421196195
72,1,american,db,test,3,199738,3,crowd,SPSQUARE_ch01_8k.wav,644735,-10,272981036
73,1,american,db,test,3,199738,3,crowd,SPSQUARE_ch01_8k.wav,644735,-15,1335658901
74,1,american,db,test,3,199738,3,crowd,SPSQUARE_ch01_8k.wav,644735,-20,1396651733
75,1,american,db,test,3,199738,3,crowd,SPSQUARE_ch01_8k.wav,644735,-25,3133634674
76,1,american,db,test,5,1411077,1,none,,0,Inf,3063363034
77,1,american,db,test,5,1411077,1,cafe,PCAFETER_ch01_8k.wav,2093852,10,3267546902
78,1,american,db,test,5,1411077,1,cafe,PCAFETER_ch01_8k.wav,2093852,5,2410667207
79,1,american,db,test,5,1411077,1,cafe,PCAFETER_ch01_8k.wav,2093852,0,3311278823
80,1,american,db,test,5,1411077,1,cafe,PCAFETER_ch01_8k.wav,2093852,-5,2120835937
81,1,american,db,test,5,1411077,1,cafe,PCAFETER_ch01_8k.wav,2093852,-10,2245120406
82,1,american,db,test,5,1411077,1,cafe,PCAFETER_ch01_8k.wav,2093852,-15,1836274691
83,1,american,db,test,5,1411077,1,cafe,PCAFETER_ch01_8k.wav,2093852,-20,109174319
84,1,american,db,test,5,1411077,1,cafe,PCAFETER_ch01_8k.wav,2093852,-25,463390151
85,1,american,db,test,5,1411077,1,traffic,STRAFFIC_ch01_8k.wav,1114443,10,134987325
86,1,american,db,test,5,1411077,1,traffic,STRAFFIC_ch01_8k.wav,1114443,5,2733361902
87,1,american,db,test,5,1411077,1,traffic,STRAFFIC_ch01_8k.wav,1114443,0,1350148658
88,1,american,db,test,5,1411077,1,traffic,STRAFFIC_ch01_8k.wav,1114443,-5,2184294486
89,1,american,db,test,5,1411077,1,traffic,STRAFFIC_ch01_8k.wav,1114443,-10,3897968323
90,1,american,db,test,5,1411077,1,traffic,STRAFFIC_ch01_8k.wav,1114443,-15,1070701971
91,1,american,db,test,5,1411077,1,traffic,STRAFFIC_ch01_8k.wav,1114443,-20,1762581233
92,1,american,db,test,5,1411077,1,traffic,STRAFFIC_ch01_8k.wav,1114443,-25,3245067429
93,1,american,db,test,5,1411077,1,crowd,SPSQUARE_ch01_8k.wav,282247,10,982680638
94,1,american,db,test,5,1411077,1,crowd,SPSQUARE_ch01_8k.wav,282247,5,330626196
95,1,american,db,test,5,1411077,1,crowd,SPSQUARE_ch01_8k.wav,282247,0,1244473014
96,1,american,db,test,5,1411077,1,crowd,SPSQUARE_ch01_8k.wav,282247,-5,692440156
97,1,american,db,test,5,1411077,1,crowd,SPSQUARE_ch01_8k.wav,282247,-10,3993021011
98,1,american,db,test,5,1411077,1,crowd,SPSQUARE_ch01_8k.wav,282247,-15,3470850600
99,1,american,db,test,5,1411077,1,crowd,SPSQUARE_ch01_8k.wav,282247,-20,2720448419
100,1,american,db,test,5,1411077,1,crowd,SPSQUARE_ch01_8k.wav,282247,-25,3742894733
101,1,american,db,test,5,1753958,2,none,,0,Inf,3467929059
102,1,american,db,test,5,1753958,2,cafe,PCAFETER_ch01_8k.wav,440312,10,3848682826
103,1,american,db,test,5,1753958,2,cafe,PCAFETER_ch01_8k.wav,440312,5,1365814525
104,1,american,db,test,5,1753958,2,cafe,PCAFETER_ch01_8k.wav,440312,0,472669417
105,1,american,db,test,5,1753958,2,cafe,PCAFETER_ch01_8k.wav,440312,-5,978974069
106,1,american,db,test,5,1753958,2,cafe,PCAFETER_ch01_8k.wav,440312,-10,1834413984
107,1,american,db,test,5,1753958,2,cafe,PCAFETER_ch01_8k.wav,440312,-15,3513346666
108,1,american,db,test,5,1753958,2,cafe,PCAFETER_ch01_8k.wav,440312,-20,3696809705
109,1,american,db,test,5,1753958,2,cafe,PCAFETER_ch01_8k.wav,440312,-25,29859174
110,1,american,db,test,5,1753958,2,traffic,STRAFFIC_ch01_8k.wav,2106469,10,2193642961
111,1,american,db,test,5,1753958,2,traffic,STRAFFIC_ch01_8k.wav,2106469,5,1792766607
112,1,american,db,test,5,1753958,2,traffic,STRAFFIC_ch01_8k.wav,2106469,0,953945782
113,1,american,db,test,5,1753958,2,traffic,STRAFFIC_ch01_8k.wav,2106469,-5,514817833
114,1,american,db,test,5,1753958,2,traffic,STRAFFIC_ch01_8k.wav,2106469,-10,1450046120
115,1,american,db,test,5,1753958,2,traffic,STRAFFIC_ch01_8k.wav,2106469,-15,4049766340
116,1,american,db,test,5,1753958,2,traffic,STRAFFIC_ch01_8k.wav,2106469,-20,1388146023
117,1,american,db,test,5,1753958,2,traffic,STRAFFIC_ch01_8k.wav,2106469,-25,2228188753
118,1,american,db,test,5,1753958,2,crowd,SPSQUARE_ch01_8k.wav,1272866,10,3019443436
119,1,american,db,test,5,1753958,2,crowd,SPSQUARE_ch01_8k.wav,1272866,5,1561777250
120,1,american,db,test,5,1753958,2,crowd,SPSQUARE_ch01_8k.wav,1272866,0,4173772263
121,1,american,db,test,5,1753958,2,crowd,SPSQUARE_ch01_8k.wav,1272866,-5,4133679654
122,1,american,db,test,5,1753958,2,crowd,SPSQUARE_ch01_8k.wav,1272866,-10,1081396726
123,1,american,db,test,5,1753958,2,crowd,SPSQUARE_ch01_8k.wav,1272866,-15,2135666070
124,1,american,db,test,5,1753958,2,crowd,SPSQUARE_ch01_8k.wav,1272866,-20,1292262501
125,1,american,db,test,5,1753958,2,crowd,SPSQUARE_ch01_8k.wav,1272866,-25,1223380608
126,1,american,db,test,5,171220,3,none,,0,Inf,1196777451
127,1,american,db,test,5,171220,3,cafe,PCAFETER_ch01_8k.wav,1438592,10,3900972275
128,1,american,db,test,5,171220,3,cafe,PCAFETER_ch01_8k.wav,1438592,5,1028910486
129,1,american,db,test,5,171220,3,cafe,PCAFETER_ch01_8k.wav,1438592,0,622318737
130,1,american,db,test,5,171220,3,cafe,PCAFETER_ch01_8k.wav,1438592,-5,2102183598
131,1,american,db,test,5,171220,3,cafe,PCAFETER_ch01_8k.wav,1438592,-10,4233336464
132,1,american,db,test,5,171220,3,cafe,PCAFETER_ch01_8k.wav,1438592,-15,1039619475
133,1,american,db,test,5,171220,3,cafe,PCAFETER_ch01_8k.wav,1438592,-20,2886800194
134,1,american,db,test,5,171220,3,cafe,PCAFETER_ch01_8k.wav,1438592,-25,3271131339
135,1,american,db,test,5,171220,3,traffic,STRAFFIC_ch01_8k.wav,1186340,10,1020645480
136,1,american,db,test,5,171220,3,traffic,STRAFFIC_ch01_8k.wav,1186340,5,3127665401
137,1,american,db,test,5,171220,3,traffic,STRAFFIC_ch01_8k.wav,1186340,0,1579616527
138,1,american,db,test,5,171220,3,traffic,STRAFFIC_ch01_8k.wav,1186340,-5,2715732863
139,1,american,db,test,5,171220,3,traffic,STRAFFIC_ch01_8k.wav,1186340,-10,2720989388
140,1,american,db,test,5,171220,3,traffic,STRAFFIC_ch01_8k.wav,1186340,-15,2301134746
141,1,american,db,test,5,171220,3,traffic,STRAFFIC_ch01_8k.wav,1186340,-20,387791610
142,1,american,db,test,5,171220,3,traffic,STRAFFIC_ch01_8k.wav,1186340,-25,3587596900
143,1,american,db,test,5,171220,3,crowd,SPSQUARE_ch01_8k.wav,121492,10,1377739888
144,1,american,db,test,5,171220,3,crowd,SPSQUARE_ch01_8k.wav,121492,5,801090902
145,1,american,db,test,5,171220,3,crowd,SPSQUARE_ch01_8k.wav,121492,0,175127900
146,1,american,db,test,5,171220,3,crowd,SPSQUARE_ch01_8k.wav,121492,-5,2537865866
147,1,american,db,test,5,171220,3,crowd,SPSQUARE_ch01_8k.wav,121492,-10,2910116774
148,1,american,db,test,5,171220,3,crowd,SPSQUARE_ch01_8k.wav,121492,-15,71244183
149,1,american,db,test,5,171220,3,crowd,SPSQUARE_ch01_8k.wav,121492,-20,2199422937
150,1,american,db,test,5,171220,3,crowd,SPSQUARE_ch01_8k.wav,121492,-25,972791947
151,1,american,db,test,10,1412373,1,none,,0,Inf,4023224665
152,1,american,db,test,10,1412373,1,cafe,PCAFETER_ch01_8k.wav,404536,10,590647958
153,1,american,db,test,10,1412373,1,cafe,PCAFETER_ch01_8k.wav,404536,5,1464868823
154,1,american,db,test,10,1412373,1,cafe,PCAFETER_ch01_8k.wav,404536,0,487365063
155,1,american,db,test,10,1412373,1,cafe,PCAFETER_ch01_8k.wav,404536,-5,3971528848
156,1,american,db,test,10,1412373,1,cafe,PCAFETER_ch01_8k.wav,404536,-10,3768143829
157,1,american,db,test,10,1412373,1,cafe,PCAFETER_ch01_8k.wav,404536,-15,1107850855
158,1,american,db,test,10,1412373,1,cafe,PCAFETER_ch01_8k.wav,404536,-20,2834609893
159,1,american,db,test,10,1412373,1,cafe,PCAFETER_ch01_8k.wav,404536,-25,3509942622
160,1,american,db,test,10,1412373,1,traffic,STRAFFIC_ch01_8k.wav,1602999,10,2384569328
161,1,american,db,test,10,1412373,1,traffic,STRAFFIC_ch01_8k.wav,1602999,5,2274831912
162,1,american,db,test,10,1412373,1,traffic,STRAFFIC_ch01_8k.wav,1602999,0,1038747680
163,1,american,db,test,10,1412373,1,traffic,STRAFFIC_ch01_8k.wav,1602999,-5,399873343
164,1,american,db,test,10,1412373,1,traffic,STRAFFIC_ch01_8k.wav,1602999,-10,3853512337
165,1,american,db,test,10,1412373,1,traffic,STRAFFIC_ch01_8k.wav,1602999,-15,3867266107
166,1,american,db,test,10,1412373,1,traffic,STRAFFIC_ch01_8k.wav,1602999,-20,2719150053
167,1,american,db,test,10,1412373,1,traffic,STRAFFIC_ch01_8k.wav,1602999,-25,1456121865
168,1,american,db,test,10,1412373,1,crowd,SPSQUARE_ch01_8k.wav,897239,10,1499843702
169,1,american,db,test,10,1412373,1,crowd,SPSQUARE_ch01_8k.wav,897239,5,3117955898
170,1,american,db,test,10,1412373,1,crowd,SPSQUARE_ch01_8k.wav,897239,0,3853059226
171,1,american,db,test,10,1412373,1,crowd,SPSQUARE_ch01_8k.wav,897239,-5,3810007180
172,1,american,db,test,10,1412373,1,crowd,SPSQUARE_ch01_8k.wav,897239,-10,3349539963
173,1,american,db,test,10,1412373,1,crowd,SPSQUARE_ch01_8k.wav,897239,-15,2757504922
174,1,american,db,test,10,1412373,1,crowd,SPSQUARE_ch01_8k.wav,897239,-20,361378398
175,1,american,db,test,10,1412373,1,crowd,SPSQUARE_ch01_8k.wav,897239,-25,694190041
176,1,american,db,test,10,1941085,2,none,,0,Inf,2849718398
177,1,american,db,test,10,1941085,2,cafe,PCAFETER_ch01_8k.wav,1406936,10,21739338
178,1,american,db,test,10,1941085,2,cafe,PCAFETER_ch01_8k.wav,1406936,5,690665322
179,1,american,db,test,10,1941085,2,cafe,PCAFETER_ch01_8k.wav,1406936,0,2356793679
180,1,american,db,test,10,1941085,2,cafe,PCAFETER_ch01_8k.wav,1406936,-5,2971667245
181,1,american,db,test,10,1941085,2,cafe,PCAFETER_ch01_8k.wav,1406936,-10,2800152287
182,1,american,db,test,10,1941085,2,cafe,PCAFETER_ch01_8k.wav,1406936,-15,963229350
183,1,american,db,test,10,1941085,2,cafe,PCAFETER_ch01_8k.wav,1406936,-20,3058786464
184,1,american,db,test,10,1941085,2,cafe,PCAFETER_ch01_8k.wav,1406936,-25,1018977072
185,1,american,db,test,10,1941085,2,traffic,STRAFFIC_ch01_8k.wav,21338,10,1397581062
186,1,american,db,test,10,1941085,2,traffic,STRAFFIC_ch01_8k.wav,21338,5,3206156171
187,1,american,db,test,10,1941085,2,traffic,STRAFFIC_ch01_8k.wav,21338,0,2790152055
188,1,american,db,test,10,1941085,2,traffic,STRAFFIC_ch01_8k.wav,21338,-5,3647386774
189,1,american,db,test,10,1941085,2,traffic,STRAFFIC_ch01_8k.wav,21338,-10,2824425865
190,1,american,db,test,10,1941085,2,traffic,STRAFFIC_ch01_8k.wav,21338,-15,2440866865
191,1,american,db,test,10,1941085,2,traffic,STRAFFIC_ch01_8k.wav,21338,-20,402330065
192,1,american,db,test,10,1941085,2,traffic,STRAFFIC_ch01_8k.wav,21338,-25,1579327348
193,1,american,db,test,10,1941085,2,crowd,SPSQUARE_ch01_8k.wav,235418,10,1139035496
194,1,american,db,test,10,1941085,2,crowd,SPSQUARE_ch01_8k.wav,235418,5,1047927539
195,1,american,db,test,10,1941085,2,crowd,SPSQUARE_ch01_8k.wav,235418,0,4179048510
196,1,american,db,test,10,1941085,2,crowd,SPSQUARE_ch01_8k.wav,235418,-5,1688341871
197,1,american,db,test,10,1941085,2,crowd,SPSQUARE_ch01_8k.wav,235418,-10,3831310780
198,1,american,db,test,10,1941085,2,crowd,SPSQUARE_ch01_8k.wav,235418,-15,2710719757
199,1,american,db,test,10,1941085,2,crowd,SPSQUARE_ch01_8k.wav,235418,-20,3413688554
200,1,american,db,test,10,1941085,2,crowd,SPSQUARE_ch01_8k.wav,235418,-25,2158809876
201,1,american,db,test,10,1269921,3,none,,0,Inf,1205908114
202,1,american,db,test,10,1269921,3,cafe,PCAFETER_ch01_8k.wav,1142658,10,104436281
203,1,american,db,test,10,1269921,3,cafe,PCAFETER_ch01_8k.wav,1142658,5,2772282401
204,1,american,db,test,10,1269921,3,cafe,PCAFETER_ch01_8k.wav,1142658,0,760684576
205,1,american,db,test,10,1269921,3,cafe,PCAFETER_ch01_8k.wav,1142658,-5,4039238862
206,1,american,db,test,10,1269921,3,cafe,PCAFETER_ch01_8k.wav,1142658,-10,4097092040
207,1,american,db,test,10,1269921,3,cafe,PCAFETER_ch01_8k.wav,1142658,-15,3929312635
208,1,american,db,test,10,1269921,3,cafe,PCAFETER_ch01_8k.wav,1142658,-20,1589819512
209,1,american,db,test,10,1269921,3,cafe,PCAFETER_ch01_8k.wav,1142658,-25,66385663
210,1,american,db,test,10,1269921,3,traffic,STRAFFIC_ch01_8k.wav,452971,10,3987097865
211,1,american,db,test,10,1269921,3,traffic,STRAFFIC_ch01_8k.wav,452971,5,1839036913
212,1,american,db,test,10,1269921,3,traffic,STRAFFIC_ch01_8k.wav,452971,0,4151750833
213,1,american,db,test,10,1269921,3,traffic,STRAFFIC_ch01_8k.wav,452971,-5,4138716286
214,1,american,db,test,10,1269921,3,traffic,STRAFFIC_ch01_8k.wav,452971,-10,3663647713
215,1,american,db,test,10,1269921,3,traffic,STRAFFIC_ch01_8k.wav,452971,-15,1264648362
216,1,american,db,test,10,1269921,3,traffic,STRAFFIC_ch01_8k.wav,452971,-20,1653982150
217,1,american,db,test,10,1269921,3,traffic,STRAFFIC_ch01_8k.wav,452971,-25,3655604167
218,1,american,db,test,10,1269921,3,crowd,SPSQUARE_ch01_8k.wav,1676113,10,1361169647
219,1,american,db,test,10,1269921,3,crowd,SPSQUARE_ch01_8k.wav,1676113,5,727965804
220,1,american,db,test,10,1269921,3,crowd,SPSQUARE_ch01_8k.wav,1676113,0,2391443212
221,1,american,db,test,10,1269921,3,crowd,SPSQUARE_ch01_8k.wav,1676113,-5,4020754138
222,1,american,db,test,10,1269921,3,crowd,SPSQUARE_ch01_8k.wav,1676113,-10,2989425213
223,1,american,db,test,10,1269921,3,crowd,SPSQUARE_ch01_8k.wav,1676113,-15,2448394082
224,1,american,db,test,10,1269921,3,crowd,SPSQUARE_ch01_8k.wav,1676113,-20,417369863
225,1,american,db,test,10,1269921,3,crowd,SPSQUARE_ch01_8k.wav,1676113,-25,2641435925
226,2,american,db,test,3,1887424,1,none,,0,Inf,3181576986
227,2,american,db,test,3,1887424,1,cafe,PCAFETER_ch01_8k.wav,332845,10,2993659811
228,2,american,db,test,3,1887424,1,cafe,PCAFETER_ch01_8k.wav,332845,5,3017146166
229,2,american,db,test,3,1887424,1,cafe,PCAFETER_ch01_8k.wav,332845,0,1544002737
230,2,american,db,test,3,1887424,1,cafe,PCAFETER_ch01_8k.wav,332845,-5,1260967369
231,2,american,db,test,3,1887424,1,cafe,PCAFETER_ch01_8k.wav,332845,-10,3476179692
232,2,american,db,test,3,1887424,1,cafe,PCAFETER_ch01_8k.wav,332845,-15,3479410535
233,2,american,db,test,3,1887424,1,cafe,PCAFETER_ch01_8k.wav,332845,-20,3724047250
234,2,american,db,test,3,1887424,1,cafe,PCAFETER_ch01_8k.wav,332845,-25,3922338305
235,2,american,db,test,3,1887424,1,traffic,STRAFFIC_ch01_8k.wav,1231569,10,2196198880
236,2,american,db,test,3,1887424,1,traffic,STRAFFIC_ch01_8k.wav,1231569,5,2153996084
237,2,american,db,test,3,1887424,1,traffic,STRAFFIC_ch01_8k.wav,1231569,0,3428651685
238,2,american,db,test,3,1887424,1,traffic,STRAFFIC_ch01_8k.wav,1231569,-5,2791573825
239,2,american,db,test,3,1887424,1,traffic,STRAFFIC_ch01_8k.wav,1231569,-10,3014924780
240,2,american,db,test,3,1887424,1,traffic,STRAFFIC_ch01_8k.wav,1231569,-15,3417903489
241,2,american,db,test,3,1887424,1,traffic,STRAFFIC_ch01_8k.wav,1231569,-20,3822543835
242,2,american,db,test,3,1887424,1,traffic,STRAFFIC_ch01_8k.wav,1231569,-25,1451678145
243,2,american,db,test,3,1887424,1,crowd,SPSQUARE_ch01_8k.wav,2084668,10,1613116498
244,2,american,db,test,3,1887424,1,crowd,SPSQUARE_ch01_8k.wav,2084668,5,403649358
245,2,american,db,test,3,1887424,1,crowd,SPSQUARE_ch01_8k.wav,2084668,0,2483694293
246,2,american,db,test,3,1887424,1,crowd,SPSQUARE_ch01_8k.wav,2084668,-5,154370891
247,2,american,db,test,3,1887424,1,crowd,SPSQUARE_ch01_8k.wav,2084668,-10,1999728261
248,2,american,db,test,3,1887424,1,crowd,SPSQUARE_ch01_8k.wav,2084668,-15,2330640959
249,2,american,db,test,3,1887424,1,crowd,SPSQUARE_ch01_8k.wav,2084668,-20,1230685307
250,2,american,db,test,3,1887424,1,crowd,SPSQUARE_ch01_8k.wav,2084668,-25,2537609531
251,2,american,db,test,3,70213,2,none,,0,Inf,545720747
252,2,american,db,test,3,70213,2,cafe,PCAFETER_ch01_8k.wav,88741,10,2243017722
253,2,american,db,test,3,70213,2,cafe,PCAFETER_ch01_8k.wav,88741,5,3307097128
254,2,american,db,test,3,70213,2,cafe,PCAFETER_ch01_8k.wav,88741,0,926944255
255,2,american,db,test,3,70213,2,cafe,PCAFETER_ch01_8k.wav,88741,-5,2675294222
256,2,american,db,test,3,70213,2,cafe,PCAFETER_ch01_8k.wav,88741,-10,366564571
257,2,american,db,test,3,70213,2,cafe,PCAFETER_ch01_8k.wav,88741,-15,221971303
258,2,american,db,test,3,70213,2,cafe,PCAFETER_ch01_8k.wav,88741,-20,2282150765
259,2,american,db,test,3,70213,2,cafe,PCAFETER_ch01_8k.wav,88741,-25,2322010166
260,2,american,db,test,3,70213,2,traffic,STRAFFIC_ch01_8k.wav,1954527,10,2737740580
261,2,american,db,test,3,70213,2,traffic,STRAFFIC_ch01_8k.wav,1954527,5,3118538531
262,2,american,db,test,3,70213,2,traffic,STRAFFIC_ch01_8k.wav,1954527,0,4191252766
263,2,american,db,test,3,70213,2,traffic,STRAFFIC_ch01_8k.wav,1954527,-5,2217493110
264,2,american,db,test,3,70213,2,traffic,STRAFFIC_ch01_8k.wav,1954527,-10,1387087489
265,2,american,db,test,3,70213,2,traffic,STRAFFIC_ch01_8k.wav,1954527,-15,3415298700
266,2,american,db,test,3,70213,2,traffic,STRAFFIC_ch01_8k.wav,1954527,-20,1163215662
267,2,american,db,test,3,70213,2,traffic,STRAFFIC_ch01_8k.wav,1954527,-25,1885367895
268,2,american,db,test,3,70213,2,crowd,SPSQUARE_ch01_8k.wav,855825,10,336967592
269,2,american,db,test,3,70213,2,crowd,SPSQUARE_ch01_8k.wav,855825,5,108880614
270,2,american,db,test,3,70213,2,crowd,SPSQUARE_ch01_8k.wav,855825,0,4134543457
271,2,american,db,test,3,70213,2,crowd,SPSQUARE_ch01_8k.wav,855825,-5,3590507277
272,2,american,db,test,3,70213,2,crowd,SPSQUARE_ch01_8k.wav,855825,-10,2989186453
273,2,american,db,test,3,70213,2,crowd,SPSQUARE_ch01_8k.wav,855825,-15,1756439522
274,2,american,db,test,3,70213,2,crowd,SPSQUARE_ch01_8k.wav,855825,-20,744293437
275,2,american,db,test,3,70213,2,crowd,SPSQUARE_ch01_8k.wav,855825,-25,671891982
276,2,american,db,test,3,486364,3,none,,0,Inf,1202306932
277,2,american,db,test,3,486364,3,cafe,PCAFETER_ch01_8k.wav,1304981,10,4101115151
278,2,american,db,test,3,486364,3,cafe,PCAFETER_ch01_8k.wav,1304981,5,3169243124
279,2,american,db,test,3,486364,3,cafe,PCAFETER_ch01_8k.wav,1304981,0,2380932525
280,2,american,db,test,3,486364,3,cafe,PCAFETER_ch01_8k.wav,1304981,-5,2627320599
281,2,american,db,test,3,486364,3,cafe,PCAFETER_ch01_8k.wav,1304981,-10,1802168545
